,Scheme,Category,Type,Benchmark,Rating,Net_Asset_Value(Rs.),CAGR% 6 Months,CAGR% 1 Year,CAGR% 3 Year,Min. Invest(Rs.),Exp. Ratio(%),SIP Min. Inv.(Rs.)
1201,Franklin India Pension Plan(IDCW), Solution Oriented - Retirement Fund, Open ended, NIFTY 500,0,15.83,2.99,6.15,5.37,1000.0,2.48,"1,000.00"
1202,Franklin India Pension Plan(G), Solution Oriented - Retirement Fund, Open ended, NIFTY 500,0,164.52,2.99,6.34,6.48,1000.0,2.48,"1,000.00"
1203,UTI Transportation & Logistics Fund-Reg(G), Equity - Sectoral Fund - Auto, Open ended, Nifty Transportation & Logistics - TRI,0,150.58,11.42,18.40,4.13,5000.0,2.36,"1,000.00"
1204,UTI Transportation & Logistics Fund-Reg(IDCW), Equity - Sectoral Fund - Auto, Open ended, Nifty Transportation & Logistics - TRI,0,69.43,11.42,18.40,4.13,5000.0,2.36,"1,000.00"
1205,UTI Banking and Financial Services Fund-Reg(G), Equity - Sectoral Fund - Banks & Financial Services, Open ended, Nifty Financial Services - TRI,0,124.41,6.88,7.43,5.14,5000.0,2.64,"1,000.00"
1206,UTI Banking and Financial Services Fund-Reg(IDCW), Equity - Sectoral Fund - Banks & Financial Services, Open ended, Nifty Financial Services - TRI,0,48.42,6.88,7.43,5.14,5000.0,2.64,"1,000.00"
1207,UTI CCF - Savings Plan, Solution Oriented - Children's Fund, Open ended, CRISIL Short Term Debt Hybrid 60+40 Fund Index,0,30.96,1.97,9.04,6.31,1000.0,1.74,"1,000.00"
1208,UTI CCF- Investment Plan(G), Solution Oriented - Children's Fund, Open ended, NIFTY 500 - TRI,0,58.11,-2.61,13.28,9.27,1000.0,2.72,"1,000.00"
1209,UTI CCF- Investment Plan(IDCW), Solution Oriented - Children's Fund, Open ended, NIFTY 500 - TRI,0,58.11,-2.61,13.28,9.27,1000.0,2.72,"1,000.00"
1210,UTI Overnight Fund-Reg(G), Debt - Overnight Fund, Open ended, CRISIL Overnight Index,0,3016.46,5.00,3.77,4.54,20000.0,0.12,"1,000.00"
1211,UTI Overnight Fund-Reg(IDCW), Debt - Overnight Fund, Open ended, CRISIL Overnight Index,0,1553.98,5.00,3.51,4.05,20000.0,0.12,"1,000.00"
1212,UTI India Consumer Fund-Reg(IDCW), Equity - Sectoral Fund - Consumption, Open ended, Nifty India Consumption - TRI,0,33.04,-0.83,10.15,8.35,5000.0,2.61,"1,000.00"
1213,UTI India Consumer Fund-Reg(G), Equity - Sectoral Fund - Consumption, Open ended, Nifty India Consumption - TRI,0,37.8,-0.83,10.15,8.35,5000.0,2.61,"1,000.00"
1214,UTI Infrastructure Fund-Reg(G), Equity - Sectoral Fund - Infrastructure , Open ended, Nifty Infrastructure - TRI,0,82.89,7.12,14.01,7.74,5000.0,2.29,"1,000.00"
1215,UTI Infrastructure Fund-Reg(IDCW), Equity - Sectoral Fund - Infrastructure , Open ended, Nifty Infrastructure - TRI,0,43.32,7.12,14.01,7.74,5000.0,2.29,"1,000.00"
1216,UTI MNC Fund-Reg(G), Equity - Thematic Fund - MNC, Open ended, NIFTY MNC - TRI,0,271.32,2.32,9.36,6.70,5000.0,2.07,"1,000.00"
1217,UTI MNC Fund-Reg(IDCW), Equity - Thematic Fund - MNC, Open ended, NIFTY MNC - TRI,0,139.89,2.32,9.36,6.62,5000.0,2.07,"1,000.00"
1218,UTI Healthcare Fund-Reg(G), Equity - Sectoral Fund - Pharma & Health Care, Open ended, S&P BSE Health Care - TRI,0,147.33,-6.18,17.08,10.65,5000.0,2.56,"1,000.00"
1219,UTI Healthcare Fund-Reg(IDCW), Equity - Sectoral Fund - Pharma & Health Care, Open ended, S&P BSE Health Care - TRI,0,113.86,-6.18,17.08,10.65,5000.0,2.56,"1,000.00"
1220,UTI Retirement Benefit Pension, Solution Oriented - Retirement Fund, Open ended, CRISIL Short Term Debt Hybrid 60+40 Fund Index,0,36.22,5.35,11.88,6.75,1000.0,1.69,"1,000.00"
1221,LIC MF Large Cap Fund-Reg(IDCW), Equity - Large Cap Fund, Open ended, NIFTY 100 - TRI,0,24.31,-1.28,9.85,9.90,5000.0,2.46,"1,000.00"
1222,Franklin Asian Equity Fund(G), Equity - Thematic Fund - Global, Open ended, MSCI Asia (ex-Japan) Standard Index,0,26.54,-9.09,1.57,3.09,5000.0,2.56,"1,000.00"
1223,Franklin Asian Equity Fund(IDCW), Equity - Thematic Fund - Global, Open ended, MSCI Asia (ex-Japan) Standard Index,0,12.9,-9.09,1.57,2.53,5000.0,2.56,"1,000.00"
1224,Aditya Birla SL Global Excellence Equity FoF(G), FoFs (Overseas), Open ended, MSCI World,0,22.08,-0.12,0.37,6.13,1000.0,1.24,"1,000.00"
1225,JM Tax Gain Fund(G), Equity - ELSS, Open ended, S&P BSE 500 - TRI,0,28.88,1.86,14.61,11.90,1000.0,2.45,"1,000.00"
1226,JM Tax Gain Fund(IDCW), Equity - ELSS, Open ended, S&P BSE 500 - TRI,0,28.88,1.86,14.61,11.90,1000.0,2.45,"1,000.00"
1227,Kotak Infra & Eco Reform Fund(G), Equity - Sectoral Fund - Infrastructure , Open ended, Nifty Infrastructure - TRI,0,38.25,18.70,22.53,11.21,5000.0,2.48,"1,000.00"
1228,HDFC Infrastructure Fund(G), Equity - Sectoral Fund - Infrastructure , Open ended, S&P BSE India Infrastructure Index - TRI,0,23.17,12.25,16.17,1.79,1000.0,2.59,"1,000.00"
1229,HDFC Infrastructure Fund(IDCW), Equity - Sectoral Fund - Infrastructure , Open ended, S&P BSE India Infrastructure Index - TRI,0,12.61,12.27,16.18,1.56,1000.0,2.59,"1,000.00"
1230,JM Focused Fund-Reg(G), Equity - Focused Fund, Open ended, S&P BSE 500 - TRI,0,12.29,4.69,8.01,7.16,5000.0,2.52,"1,000.00"
1231,JM Focused Fund-Reg(IDCW), Equity - Focused Fund, Open ended, S&P BSE 500 - TRI,0,12.29,4.69,8.01,7.16,5000.0,2.52,"1,000.00"
1232,HSBC Global Emerging Markets Fund(G), FoFs (Overseas), Open ended, MSCI Emerging Market Index,0,17.16,-11.08,3.20,3.36,5000.0,2.41,"1,000.00"
1233,HSBC Global Emerging Markets Fund(IDCW), FoFs (Overseas), Open ended, MSCI Emerging Market Index,0,15.26,-11.08,3.20,3.36,5000.0,2.41,"1,000.00"
1234,LIC MF Infra Fund-Reg(G), Equity - Sectoral Fund - Infrastructure , Open ended, Nifty Infrastructure - TRI,0,23.53,6.10,15.39,9.05,5000.0,2.61,"1,000.00"
1235,LIC MF Infra Fund-Reg(IDCW), Equity - Sectoral Fund - Infrastructure , Open ended, Nifty Infrastructure - TRI,0,23.53,6.10,15.39,9.05,5000.0,2.61,"1,000.00"
1236,DSP Natural Res & New Energy Fund-Reg(G), Equity - Sectoral Fund - Energy & Power, Open ended, N/A,0,57.76,6.02,23.75,9.35,1000.0,2.32,"1,000.00"
1237,DSP Natural Res & New Energy Fund-Reg(IDCW), Equity - Sectoral Fund - Energy & Power, Open ended, N/A,0,23.61,6.02,23.43,9.04,1000.0,2.32,"1,000.00"
1238,Sundaram Fin Serv Opp Fund(G), Equity - Sectoral Fund - Banks & Financial Services, Open ended, Nifty Financial Services - TRI,0,64.91,9.85,10.57,10.72,1000.0,2.46,"1,000.00"
1239,Sundaram Fin Serv Opp Fund(IDCW), Equity - Sectoral Fund - Banks & Financial Services, Open ended, Nifty Financial Services - TRI,0,23.33,9.85,10.42,10.41,1000.0,2.46,"1,000.00"
1240,Nippon India Quant Fund(G), Equity - Thematic Fund - Other, Open ended, S&P BSE 200 - TRI,0,43.07,8.15,17.09,11.05,5000.0,1.01,"1,000.00"
1241,Nippon India Quant Fund(IDCW), Equity - Thematic Fund - Other, Open ended, S&P BSE 200 - TRI,0,22.96,8.15,17.09,11.05,5000.0,1.01,"1,000.00"
1242,IDFC Equity Savings Fund-Reg(G), Hybrid - Equity Savings, Open ended, Crisil Equity Savings Index,0,25.61,3.05,6.88,6.04,1000.0,1.37,"1,000.00"
1243,IDFC Equity Savings Fund-Reg(M-IDCW), Hybrid - Equity Savings, Open ended, Crisil Equity Savings Index,0,14.11,3.00,6.84,5.95,1000.0,1.37,"1,000.00"
1244,Taurus Largecap Equity Fund-Reg(IDCW), Equity - Large Cap Fund, Open ended, S&P BSE 100 - TRI,0,44.29,0.11,9.06,6.78,5000.0,2.61,"1,000.00"
1245,Taurus Tax Shield Fund-Reg(IDCW), Equity - ELSS, Open ended, S&P BSE 500 - TRI,0,56.11,7.51,12.47,9.40,1000.0,2.44,"1,000.00"
1246,Invesco India Financial Services Fund(G), Equity - Sectoral Fund - Banks & Financial Services, Open ended, Nifty Financial Services - TRI,0,80.46,5.04,8.12,9.05,1000.0,2.48,"1,000.00"
1247,Invesco India Financial Services Fund(IDCW), Equity - Sectoral Fund - Banks & Financial Services, Open ended, Nifty Financial Services - TRI,0,41.03,5.04,8.12,8.81,1000.0,2.48,"1,000.00"
1248,Taurus Flexi Cap Fund-Reg(IDCW), Equity - Flexi Cap Fund, Open ended, S&P BSE 500 - TRI,0,71.78,0.20,9.21,4.56,5000.0,2.64,"1,000.00"
1249,Taurus Discovery (Midcap) Fund-Reg(IDCW), Equity - Mid Cap Fund, Open ended, Nifty Midcap 150 - TRI,0,67.93,7.25,16.96,10.79,5000.0,2.56,"1,000.00"
1250,Edelweiss Money Market Fund-Reg(G), Debt - Money Market Fund, Open ended, Nifty Money Market Index,0,24.25,4.73,3.81,3.82,5000.0,0.98,"1,000.00"
1251,Edelweiss Money Market Fund-Reg(IDCW), Debt - Money Market Fund, Open ended, Nifty Money Market Index,0,22.81,4.74,3.81,3.83,5000.0,0.98,"1,000.00"
1252,ICICI Pru Banking & Fin Serv Fund(G), Equity - Sectoral Fund - Banks & Financial Services, Open ended, Nifty Financial Services - TRI,0,88.51,6.15,8.81,8.22,5000.0,1.95,"1,000.00"
1253,ICICI Pru Banking & Fin Serv Fund(IDCW), Equity - Sectoral Fund - Banks & Financial Services, Open ended, Nifty Financial Services - TRI,0,34.59,6.16,8.45,7.81,5000.0,1.95,"1,000.00"
1254,Quant Focused Fund(G), Equity - Focused Fund, Open ended, NIFTY 500 - TRI,0,56.08,4.92,20.92,11.65,5000.0,2.62,"1,000.00"
1255,Quant Focused Fund(IDCW), Equity - Focused Fund, Open ended, NIFTY 500 - TRI,0,41.68,5.24,21.05,11.73,5000.0,2.62,"1,000.00"
1256,Bank of India Ultra Short Duration Fund-Reg(G), Debt - Ultra Short Duration Fund, Open ended, CRISIL Ultra Short Term Debt Index,0,2715.75,5.64,4.70,4.16,5000.0,0.57,"1,000.00"
1257,Bank of India Ultra Short Duration Fund-Reg(W-IDCW), Debt - Ultra Short Duration Fund, Open ended, CRISIL Ultra Short Term Debt Index,0,1007.81,5.64,4.69,4.09,5000.0,0.57,"1,000.00"
1258,Aditya Birla SL Global Emerging Opp Fund(G), FoFs (Overseas), Open ended, MSCI AC World Index,0,19.61,-1.41,10.17,9.12,1000.0,1.1,"1,000.00"
1259,JM Flexicap Fund-Reg(G), Equity - Flexi Cap Fund, Open ended, S&P BSE 500 - TRI,0,55.53,6.73,15.20,12.29,5000.0,2.6,"1,000.00"
1260,JM Flexicap Fund-Reg(IDCW), Equity - Flexi Cap Fund, Open ended, S&P BSE 500 - TRI,0,42.79,6.73,15.20,11.85,5000.0,2.6,"1,000.00"
1261,Quant Flexi Cap Fund(G), Equity - Flexi Cap Fund, Open ended, NIFTY 500 - TRI,0,60.39,4.23,34.23,16.65,5000.0,2.33,"1,000.00"
1262,Quant Flexi Cap Fund(IDCW), Equity - Flexi Cap Fund, Open ended, NIFTY 500 - TRI,0,43.15,3.98,34.12,16.59,5000.0,2.33,"1,000.00"
1263,Bank of India Large & Mid Cap Equity Fund-Reg(G), Equity - Large & Mid Cap Fund, Open ended, S&P BSE 250 LargeMidCap Index - TRI,0,56.41,3.56,14.37,8.40,5000.0,2.57,"1,000.00"
1264,Bank of India Large & Mid Cap Equity Fund-Reg(IDCW), Equity - Large & Mid Cap Fund, Open ended, S&P BSE 250 LargeMidCap Index - TRI,0,16.84,3.58,14.36,8.11,5000.0,2.57,"1,000.00"
1265,Bank of India Large & Mid Cap Equity Fund-Reg(Q-IDCW), Equity - Large & Mid Cap Fund, Open ended, S&P BSE 250 LargeMidCap Index - TRI,0,20.54,3.54,14.35,8.37,5000.0,2.57,"1,000.00"
1266,UTI Multi Asset Fund-Reg(G), Hybrid - Multi Asset Allocation, Open ended, N/A,0,45.86,4.33,8.70,6.25,5000.0,1.93,"1,000.00"
1267,UTI Multi Asset Fund-Reg(IDCW), Hybrid - Multi Asset Allocation, Open ended, N/A,0,19.64,4.33,8.66,5.96,5000.0,1.93,"1,000.00"
1268,Bank of India Tax Advantage Fund-Reg(G), Equity - ELSS, Open ended, S&P BSE 500 - TRI,0,100.0,2.93,18.31,12.17,1000.0,2.47,"1,000.00"
1269,Bank of India Tax Advantage Fund-Reg(IDCW), Equity - ELSS, Open ended, S&P BSE 500 - TRI,0,19.26,2.96,18.31,12.17,1000.0,2.47,"1,000.00"
1270,Edelweiss Long Term Equity Fund (Tax Savings)-Reg(G), Equity - ELSS, Open ended, NIFTY 500 - TRI,0,72.05,1.97,12.65,8.49,1000.0,2.37,"1,000.00"
1271,Edelweiss Long Term Equity Fund (Tax Savings)-Reg(IDCW), Equity - ELSS, Open ended, NIFTY 500 - TRI,0,20.02,1.96,12.64,8.23,1000.0,2.37,"1,000.00"
1272,Bank of India Conservative Hybrid Fund-Reg(G), Hybrid - Conservative Hybrid Fund, Open ended, CRISIL Hybrid 85+15 - Conservative Index,0,27.99,21.89,13.10,5.86,10000.0,2.3,"1,000.00"
1273,Bank of India Conservative Hybrid Fund-Reg(M-IDCW), Hybrid - Conservative Hybrid Fund, Open ended, CRISIL Hybrid 85+15 - Conservative Index,0,14.41,21.89,13.10,5.28,10000.0,2.3,"1,000.00"
1274,Taurus Ethical Fund-Reg(G), Index Funds - Other, Open ended, S&P BSE 500 Shariah - TRI,0,82.69,-0.63,13.21,10.56,5000.0,2.41,"1,000.00"
1275,Taurus Ethical Fund-Reg(IDCW), Index Funds - Other, Open ended, S&P BSE 500 Shariah - TRI,0,55.9,-0.63,13.23,10.57,5000.0,2.41,"1,000.00"
1276,Bank of India Conservative Hybrid Fund-Reg(Q-IDCW), Hybrid - Conservative Hybrid Fund, Open ended, CRISIL Hybrid 85+15 - Conservative Index,0,14.94,21.89,13.10,5.67,10000.0,2.3,"1,000.00"
1277,Bank of India Conservative Hybrid Fund-Reg(A-IDCW), Hybrid - Conservative Hybrid Fund, Open ended, CRISIL Hybrid 85+15 - Conservative Index,0,13.59,21.89,13.11,5.62,10000.0,2.3,"1,000.00"
1278,Edelweiss Large Cap Fund-Reg(G), Equity - Large Cap Fund, Open ended, NIFTY 100 - TRI,0,56.9,5.09,13.66,11.46,5000.0,2.45,"1,000.00"
1279,Edelweiss Large Cap Fund-Reg(IDCW), Equity - Large Cap Fund, Open ended, NIFTY 100 - TRI,0,22.79,5.08,13.26,11.07,5000.0,2.45,"1,000.00"
1280,Canara Rob Dynamic Bond Fund-Reg(G), Debt - Dynamic Bond, Open ended, CRISIL Dynamic Debt Index,0,25.08,4.38,2.87,3.87,5000.0,1.75,"1,000.00"
1281,Canara Rob Dynamic Bond Fund-Reg(IDCW), Debt - Dynamic Bond, Open ended, CRISIL Dynamic Debt Index,0,13.36,4.38,2.87,3.86,5000.0,1.75,"1,000.00"
1282,Franklin Build India Fund(G), Equity - Sectoral Fund - Infrastructure , Open ended, S&P BSE India Infrastructure Index - TRI,0,71.26,10.75,19.75,11.10,5000.0,2.32,"1,000.00"
1283,Franklin Build India Fund(IDCW), Equity - Sectoral Fund - Infrastructure , Open ended, S&P BSE India Infrastructure Index - TRI,0,26.43,10.75,19.75,10.67,5000.0,2.32,"1,000.00"
1284,DSP World Energy Fund-Reg(G), FoFs (Overseas), Open ended, N/A,0,17.6,13.73,9.92,7.07,1000.0,2.12,"1,000.00"
1285,DSP World Energy Fund-Reg(IDCW), FoFs (Overseas), Open ended, N/A,0,13.56,13.73,9.92,7.07,1000.0,2.12,"1,000.00"
1286,Invesco India Largecap Fund(G), Equity - Large Cap Fund, Open ended, NIFTY 100 - TRI,0,43.49,-2.83,11.97,9.78,1000.0,2.29,"1,000.00"
1287,Canara Rob Consumer Trends Fund-Reg(G), Equity - Sectoral Fund - Consumption, Open ended, S&P BSE 100 - TRI,0,69.37,6.25,15.33,13.91,5000.0,2.35,"1,000.00"
1288,Canara Rob Consumer Trends Fund-Reg(IDCW), Equity - Sectoral Fund - Consumption, Open ended, S&P BSE 100 - TRI,0,33.33,6.26,15.34,13.55,5000.0,2.35,"1,000.00"
1289,Baroda BNP Paribas Dynamic Bond Fund(M-IDCW), Debt - Dynamic Bond, Open ended, CRISIL Dynamic Debt Index,0,10.16,6.20,3.47,3.46,5000.0,1.69,"1,000.00"
1290,Edelweiss Aggressive Hybrid Fund-Reg(G), Hybrid - Aggressive Hybrid Fund, Open ended, CRISIL Hybrid 35+65 - Aggressive Index,0,41.04,6.50,14.17,11.00,5000.0,2.53,"1,000.00"
1291,Edelweiss Aggressive Hybrid Fund-Reg(IDCW), Hybrid - Aggressive Hybrid Fund, Open ended, CRISIL Hybrid 35+65 - Aggressive Index,0,21.91,6.49,13.62,10.52,5000.0,2.53,"1,000.00"
1292,ICICI Pru Technology Fund(IDCW), Equity - Sectoral Fund - Technology, Open ended, S&P BSE TECk Index - TRI,0,58.62,-9.32,31.53,22.19,5000.0,2.1,"1,000.00"
1293,Invesco India PSU Equity Fund(G), Equity - Thematic Fund - Other, Open ended, S&P BSE PSU - TRI,0,29.93,12.51,14.35,9.11,1000.0,2.47,"1,000.00"
1294,Invesco India PSU Equity Fund(IDCW), Equity - Thematic Fund - Other, Open ended, S&P BSE PSU - TRI,0,21.8,12.49,14.33,8.87,1000.0,2.47,"1,000.00"
1295,Taurus Nifty 50 Index Fund-Reg(G), Index Funds - Nifty, Open ended, NIFTY 50 - TRI,0,34.41,4.44,15.30,12.21,5000.0,1.04,"1,000.00"
1296,Taurus Nifty 50 Index Fund-Reg(IDCW), Index Funds - Nifty, Open ended, NIFTY 50 - TRI,0,21.93,4.43,15.29,12.21,5000.0,1.04,"1,000.00"
1297,Aditya Birla SL Financial Planning FOF Conservative Plan(G), FoFs (Domestic) - Debt Oriented, Open ended, CRISIL Short Term Debt Hybrid 75+25 Fund Index,0,25.2,4.68,8.95,7.59,1000.0,0.5,"1,000.00"
1298,Aditya Birla SL Financial Planning FOF Conservative Plan(IDCW-Payout), FoFs (Domestic) - Debt Oriented, Open ended, CRISIL Short Term Debt Hybrid 75+25 Fund Index,0,22.92,4.68,8.95,7.58,1000.0,0.5,"1,000.00"
1299,Aditya Birla SL Financial Planning FOF Moderate Plan(G), FoFs (Domestic) - Debt Oriented, Open ended, CRISIL Hybrid 50+50 - Moderate Index,0,29.22,4.17,10.97,8.72,1000.0,0.67,"1,000.00"
1300,Aditya Birla SL Financial Planning FOF Moderate Plan(IDCW-Payout), FoFs (Domestic) - Debt Oriented, Open ended, CRISIL Hybrid 50+50 - Moderate Index,0,26.21,4.17,10.97,8.72,1000.0,0.67,"1,000.00"
1301,Aditya Birla SL Financial Planning FOF Aggressive Plan(G), FoFs (Domestic) - Equity Oriented, Open ended, CRISIL Hybrid 35+65 - Aggressive Index,0,35.05,4.24,13.06,9.69,1000.0,0.98,"1,000.00"
1302,Aditya Birla SL Financial Planning FOF Aggressive Plan(IDCW-Payout), FoFs (Domestic) - Equity Oriented, Open ended, CRISIL Hybrid 35+65 - Aggressive Index,0,32.08,4.24,13.06,9.69,1000.0,0.98,"1,000.00"
1303,DSP World Mining Fund-Reg(G), FoFs (Overseas), Open ended, MSCI ACWI Metals & Mining 30% Buffer 10/40 (1994) Net TRI,0,17.13,7.42,24.93,14.32,1000.0,2.18,"1,000.00"
1304,DSP World Mining Fund-Reg(IDCW), FoFs (Overseas), Open ended, MSCI ACWI Metals & Mining 30% Buffer 10/40 (1994) Net TRI,0,17.13,7.42,24.93,14.32,1000.0,2.18,"1,000.00"
1305,IDFC Asset Alloc FoF-Aggr-Reg(G), FoFs (Domestic) - Equity Oriented, Open ended, CRISIL Hybrid 35+65 - Aggressive Index,0,31.12,-0.65,8.69,6.23,1000.0,1.38,"1,000.00"
1306,IDFC Asset Alloc FoF-Mod-Reg(G), FoFs (Domestic) - Debt Oriented, Open ended, NIFTY 50 Hybrid Composite Debt 50:50 Index,0,29.41,0.54,6.99,6.19,1000.0,1.04,"1,000.00"
1307,IDFC Asset Alloc FoF-Cons-Reg(G), FoFs (Domestic) - Debt Oriented, Open ended, CRISIL Hybrid 85+15 - Conservative Index,0,26.54,1.84,5.37,5.80,1000.0,0.86,"1,000.00"
1308,IDFC Asset Alloc FoF-Aggr-Reg(IDCW), FoFs (Domestic) - Equity Oriented, Open ended, CRISIL Hybrid 35+65 - Aggressive Index,0,19.83,-0.64,8.38,5.96,1000.0,1.38,"1,000.00"
1309,IDFC Asset Alloc FoF-Mod-Reg(IDCW), FoFs (Domestic) - Debt Oriented, Open ended, NIFTY 50 Hybrid Composite Debt 50:50 Index,0,18.22,0.54,6.78,5.85,1000.0,1.04,"1,000.00"
1310,IDFC Asset Alloc FoF-Cons-Reg(IDCW), FoFs (Domestic) - Debt Oriented, Open ended, CRISIL Hybrid 85+15 - Conservative Index,0,15.74,1.84,5.17,5.38,1000.0,0.86,"1,000.00"
1311,IDFC Regular Savings Fund-Reg(G), Hybrid - Conservative Hybrid Fund, Open ended, CRISIL Hybrid 85+15 - Conservative Index,0,26.05,-0.47,3.98,4.93,1000.0,2.1,"1,000.00"
1312,IDFC Regular Savings Fund-Reg(IDCW), Hybrid - Conservative Hybrid Fund, Open ended, CRISIL Hybrid 85+15 - Conservative Index,0,13.33,-0.47,3.70,4.14,1000.0,2.1,"1,000.00"
1313,Bank of India Mfg & Infra Fund-Reg(G), Equity - Sectoral Fund - Infrastructure , Open ended, N/A,0,30.49,7.36,23.07,9.78,5000.0,2.54,"1,000.00"
1314,Bank of India Mfg & Infra Fund-Reg(IDCW), Equity - Sectoral Fund - Infrastructure , Open ended, N/A,0,19.43,7.36,23.07,9.24,5000.0,2.54,"1,000.00"
1315,Bank of India Mfg & Infra Fund-Reg(Q-IDCW), Equity - Sectoral Fund - Infrastructure , Open ended, N/A,0,19.8,7.33,23.06,9.15,5000.0,2.54,"1,000.00"
1316,Sundaram Debt Oriented Hybrid Fund(G), Hybrid - Conservative Hybrid Fund, Open ended, CRISIL Hybrid 85+15 - Conservative Index,0,24.42,3.08,7.46,5.08,5000.0,2.16,"1,000.00"
1317,Sundaram Debt Oriented Hybrid Fund(M-IDCW), Hybrid - Conservative Hybrid Fund, Open ended, CRISIL Hybrid 85+15 - Conservative Index,0,13.38,3.08,7.35,4.30,5000.0,2.16,"1,000.00"
1318,Navi Liquid Fund-Reg(G), Debt - Liquid Fund, Open ended, N/A,0,24.27,5.35,4.10,5.13,1000.0,0.2,"1,000.00"
1319,Navi Liquid Fund-Reg(DD-IDCW), Debt - Liquid Fund, Open ended, N/A,0,10.01,5.33,3.96,4.29,1000.0,0.2,"1,000.00"
1320,Navi Liquid Fund-Reg(M-IDCW), Debt - Liquid Fund, Open ended, N/A,0,10.05,5.36,3.79,4.18,1000.0,0.2,"1,000.00"
1321,Axis Triple Advantage Fund-Reg(G), Hybrid - Multi Asset Allocation, Open ended, N/A,0,29.17,-3.50,9.34,9.51,1000.0,2.07,"1,000.00"
1322,Axis Triple Advantage Fund-Reg(IDCW), Hybrid - Multi Asset Allocation, Open ended, N/A,0,17.74,-3.50,9.29,9.41,1000.0,2.07,"1,000.00"
1323,HSBC Brazil Fund(G), FoFs (Overseas), Open ended, MSCI Brazil 10/40 Index,0,6.35,-3.83,-11.47,-4.79,5000.0,2.45,"1,000.00"
1324,HSBC Brazil Fund(IDCW), FoFs (Overseas), Open ended, MSCI Brazil 10/40 Index,0,6.35,-3.83,-11.47,-4.79,5000.0,2.45,"1,000.00"
1325,Navi Liquid Fund-Reg(W-IDCW), Debt - Liquid Fund, Open ended, N/A,0,10.01,5.36,4.02,4.31,1000.0,0.2,"1,000.00"
1326,PGIM India Global Equity Opp Fund(G), FoFs (Overseas), Open ended, MSCI AC World Index,0,28.01,-13.24,8.11,13.00,5000.0,2.46,N/A
1327,IDBI Nifty Index Fund(G), Index Funds - Nifty, Open ended, NIFTY 50 - TRI,0,33.16,4.16,14.02,11.24,5000.0,0.9,"1,000.00"
1328,IDBI Nifty Index Fund(IDCW), Index Funds - Nifty, Open ended, NIFTY 50 - TRI,0,31.64,4.15,14.04,11.25,5000.0,0.9,"1,000.00"
1329,SBI PSU Fund-Reg(G), Equity - Thematic Fund - Other, Open ended, S&P BSE PSU - TRI,0,15.23,14.71,13.99,4.78,5000.0,2.53,"1,000.00"
1330,SBI PSU Fund-Reg(IDCW), Equity - Thematic Fund - Other, Open ended, S&P BSE PSU - TRI,0,15.22,14.71,13.99,4.78,5000.0,2.53,"1,000.00"
1331,Axis Regular Saver Fund-Reg(G), Hybrid - Conservative Hybrid Fund, Open ended, N/A,0,24.68,1.31,7.36,6.00,1000.0,2.22,"1,000.00"
1332,Axis Regular Saver Fund-Reg(A-IDCW), Hybrid - Conservative Hybrid Fund, Open ended, N/A,0,12.9,1.31,6.89,4.75,1000.0,2.22,"1,000.00"
1333,Navi Regular Savings Fund-Reg(G), Hybrid - Conservative Hybrid Fund, Open ended, CRISIL Hybrid 85+15 - Conservative Index,0,22.7,2.27,4.17,4.85,1000.0,2.15,"1,000.00"
1334,Navi Regular Savings Fund-Reg(M-IDCW), Hybrid - Conservative Hybrid Fund, Open ended, CRISIL Hybrid 85+15 - Conservative Index,0,11.08,2.27,3.95,3.82,1000.0,2.15,"1,000.00"
1335,Sundaram Nifty 100 Equal Weight Fund(IDCW), Index Funds - Other, Open ended, Nifty100 Equal Weight - TRI,0,58.21,-2.14,13.92,7.77,1000.0,0.95,"1,000.00"
1336,IDBI Liquid Fund(G), Debt - Liquid Fund, Open ended, N/A,0,2381.7,5.24,4.30,5.36,5000.0,0.17,"1,000.00"
1337,IDBI Liquid Fund(DD-IDCW), Debt - Liquid Fund, Open ended, N/A,0,1005.27,5.24,4.23,4.52,5000.0,0.17,"1,000.00"
1338,IDBI Liquid Fund(W-IDCW), Debt - Liquid Fund, Open ended, N/A,0,1023.68,5.29,4.24,4.55,5000.0,0.17,"1,000.00"
1339,IDBI Liquid Fund(M-IDCW), Debt - Liquid Fund, Open ended, N/A,0,1007.53,5.24,4.25,4.53,5000.0,0.17,"1,000.00"
1340,IDFC Infrastructure Fund-Reg(G), Equity - Sectoral Fund - Infrastructure , Open ended, S&P BSE India Infrastructure Index - TRI,0,25.0,5.86,20.52,6.00,1000.0,2.43,"1,000.00"
1341,IDFC Infrastructure Fund-Reg(IDCW), Equity - Sectoral Fund - Infrastructure , Open ended, S&P BSE India Infrastructure Index - TRI,0,21.34,5.91,20.53,6.01,1000.0,2.43,"1,000.00"
1342,Navi Regular Savings Fund-Reg(Q-IDCW), Hybrid - Conservative Hybrid Fund, Open ended, CRISIL Hybrid 85+15 - Conservative Index,0,13.96,2.27,4.17,4.73,1000.0,2.15,"1,000.00"
1343,HDFC Children's Gift Fund(Lock in), Solution Oriented - Children's Fund, Open ended, NIFTY 50 Hybrid Composite Debt 65:35 Index,0,201.13,9.76,16.35,11.60,1000.0,1.97,"1,000.00"
1344,IDBI Nifty Junior Index Fund(G), Index Funds - Nifty Next 50, Open ended, NIFTY NEXT 50 - TRI,0,28.93,-6.21,10.18,4.94,5000.0,0.9,"1,000.00"
